KmlID,LONGITUDE,LATITUDE,MYID,SBBMNUM,newKmlID,newLONGITUDE,newLATITUDE
1793.0,104.7162998,31.4965236,,0.0,1793.0,104.7162998,31.4965236
1794.0,104.7461193,31.4965579,,0.0,1794.0,104.7461193,31.4965579
1795.0,104.7669561,31.4965869,,0.0,1795.0,104.766443,31.4965354
1796.0,104.7043025,31.4965896,,0.0,1796.0,104.7043025,31.4965896
1797.0,104.7342718,31.4966175,,0.0,1799.0,104.7343212,31.4966375
1798.0,104.7595333,31.4966196,,0.0,1798.0,104.7595333,31.4966196
1799.0,104.7343706,31.4966574,19.0,4.0,1799.0,104.7343212,31.4966375
1800.0,104.7018295,31.4966859,,0.0,1800.0,104.7018295,31.4966859
1801.0,104.6835981,31.4967523,,0.0,1801.0,104.6835981,31.4967523
1802.0,104.6822437,31.4967653,,0.0,1802.0,104.6822437,31.4967653
1803.0,104.6851193,31.4967744,,0.0,1803.0,104.6851193,31.4967744
1804.0,104.7495828,31.4968735,827.0,2.0,1804.0,104.7493794,31.4971902
